Timestamp_24H,System_Millis_ms,GNSS_Valid,Latitude_deg,Longitude_deg,Altitude_m,Satellites_Used,HDOP,Fix_Type,Solar_Voltage_V,Solar_Current_mA,Solar_Power_mW,Battery_Voltage_V,Battery_Current_mA,Battery_Power_mW,Load_Voltage_V,Load_Current_mA,Load_Power_mW,GNSS_Power_Est_mW,System_Efficiency_pct
2025-06-10 00:37:26,2222,0,0,0,0,0,0,0,0.0273,-0.10,0.00,4.0447,31.49,127.35,3.3098,30.07,99.52,0.00,0.0
2025-06-10 00:37:27,3245,0,0,0,0,0,0,0,0.0291,-0.09,0.00,4.0447,30.05,121.52,3.3111,28.31,93.75,0.00,0.0
2025-06-10 00:37:28,4268,0,0,0,0,0,0,0,0.0283,-0.05,0.00,4.0437,26.96,109.01,3.3078,26.09,86.30,0.00,0.0
2025-06-10 00:37:29,5294,0,0,0,0,0,0,0,0.0670,-0.10,0.00,4.0451,27.65,111.79,3.3082,25.82,85.48,0.00,0.0
2025-06-10 00:37:30,6383,0,0,0,0,0,0,0,0.1734,0.17,0.00,4.0453,27.33,110.57,3.3105,28.46,94.15,0.00,0.0
2025-06-10 00:37:31,7406,0,0,0,0,0,0,0,0.2475,-0.21,0.03,4.0445,29.34,118.74,3.3080,26.71,88.38,0.00,289600.0
2025-06-10 00:37:32,8429,0,0,0,0,0,0,0,0.0654,-0.21,0.00,4.0461,30.26,122.34,3.3098,28.67,94.85,0.00,0.0
2025-06-10 00:37:33,9455,0,0,0,0,0,0,0,0.0330,-0.21,0.00,4.0445,28.89,116.88,3.3096,26.45,87.49,0.00,0.0
2025-06-10 00:37:34,10478,0,0,0,0,0,0,0,0.0303,-0.01,0.00,4.0447,30.17,122.04,3.3100,28.02,92.71,7.23,0.0
2025-06-10 00:37:35,11565,0,0,0,0,0,0,0,0.0311,0.11,0.00,4.0443,29.89,120.88,3.3086,25.74,85.14,0.00,0.0
2025-06-10 00:37:36,12588,0,0,0,0,0,0,0,0.0322,-0.11,0.00,4.0453,30.74,124.33,3.3100,28.53,94.39,0.00,0.0
2025-06-10 00:37:38,13612,0,0,0,0,0,0,0,0.0301,-0.03,0.00,4.0461,27.33,110.53,3.3094,27.25,90.15,0.00,0.0
2025-06-10 00:37:39,14638,0,0,0,0,0,0,0,0.0309,-0.01,0.00,4.0465,30.76,124.36,3.3098,28.66,94.85,0.00,0.0
2025-06-10 00:37:40,15662,0,0,0,0,0,0,0,0.0301,-0.03,0.00,4.0451,30.17,122.04,3.3084,30.55,101.04,15.56,0.0
2025-06-10 00:37:41,16747,0,0,0,0,0,0,0,0.0314,-0.07,0.00,4.0439,29.39,118.84,3.3078,30.38,100.49,0.00,0.0
2025-06-10 00:37:42,17771,0,0,0,0,0,0,0,0.0314,-0.01,0.00,4.0457,33.33,134.74,3.3094,27.83,92.07,0.00,0.0
2025-06-10 00:37:43,18795,0,0,0,0,0,0,0,0.0232,-0.01,0.00,4.0455,28.97,117.19,3.3105,26.09,86.36,0.00,0.0
2025-06-10 00:37:44,19821,0,0,0,0,0,0,0,0.0139,-0.19,0.00,4.0451,29.43,119.05,3.3100,27.28,90.30,0.00,0.0
2025-06-10 00:37:45,20845,0,0,0,0,0,0,0,0.0117,0.01,0.00,4.0445,29.12,117.74,3.3090,30.78,101.84,16.36,0.0
2025-06-10 00:37:46,22041,0,0,0,0,0,0,0,0.0107,0.13,0.00,4.0451,31.61,127.87,3.3098,30.35,100.37,0.00,0.0
